iter	Passed	Remaining
673	21414	5242
674	21416	5203
675	21430	5167
676	21435	5129
677	21437	5090
678	21442	5052
679	21537	5035
680	21563	5002
681	21576	4967
682	21678	4951
683	21777	4934
684	21876	4918
685	21880	4880
686	21983	4863
687	21992	4826
688	22091	4809
689	22093	4770
690	22097	4732
691	22193	4714
692	22244	4686
693	22246	4648
694	22273	4614
695	22275	4576
696	22372	4557
697	22374	4519
698	22376	4481
699	22379	4444
700	22383	4406
701	22385	4368
702	22497	4352
703	22598	4333
704	22648	4304
705	22650	4266
706	22676	4233
707	22690	4198
708	22703	4162
709	22706	4125
710	22713	4089
711	22727	4053
712	22776	4025
713	22873	4004
714	22969	3983
715	23070	3963
716	23078	3926
717	23092	3891
718	23118	3858
719	23131	3823
720	23229	3801
721	23256	3768
722	23281	3735
723	23307	3702
724	23314	3666
725	23318	3629
726	23418	3607
727	23431	3572
728	23437	3536
729	23463	3503
730	23465	3466
731	23568	3445
732	23573	3408
733	23598	3375
734	23693	3352
735	23743	3322
736	23746	3286
737	23760	3251
738	23764	3215
739	23858	3191
740	23873	3157
741	23969	3133
742	23974	3097
743	24076	3074
744	24083	3038
745	24085	3002
746	24088	2966
747	24095	2931
748	24120	2898
749	24127	2863
750	24131	2827
751	24228	2803
752	24326	2778
753	24335	2743
754	24436	2718
755	24445	2683
756	24452	2648
757	24455	2613
758	24463	2578
759	24476	2544
760	24482	2509
761	24496	2475
762	24588	2449
763	24596	2414
764	24693	2388
765	24793	2362
766	24894	2336
767	24901	2302
768	24947	2270
769	24951	2235
770	25049	2209
771	25057	2174
772	25069	2140
773	25073	2105
774	25076	2070
775	25090	2037
776	25094	2002
777	25107	1968
778	25205	1941
779	25220	1907
780	25247	1874
781	25254	1840
782	25267	1807
783	25270	1772
784	25284	1739
785	25334	1708
786	25342	1674
787	25350	1640
788	25359	1607
789	25462	1579
790	25563	1551
791	25658	1522
792	25672	1489
793	25770	1460
794	25778	1426
795	25875	1397
796	25878	1363
797	25886	1329
798	25892	1296
799	25992	1267
800	26000	1233
801	26003	1199
802	26016	1166
803	26042	1133
804	26050	1100
805	26149	1070
806	26153	1037
807	26156	1003
808	26159	970
809	26186	937
810	26193	904
811	26197	871
812	26223	838
813	26230	805
814	26327	775
815	26428	744
816	26433	711
817	26434	678
818	26438	645
819	26536	614
820	26636	583
821	26650	551
822	26664	518
823	26764	487
824	26791	454
825	26797	421
826	26805	388
827	26819	356
828	26847	323
829	26873	291
830	26971	259
831	26998	227
832	27011	194
833	27014	161
834	27017	129
835	27024	96
836	27123	64
837	27224	32
838	27325	0
